WKT,fid,O,D,O_lat,O_lon,D_lat,D_lon,length,walkwidth,width,side,buile_MAX,build_ave,build_Min,katagawa,green,bridge,tunnel,crosswalk,roof,river,D/H,gradient,maxspeed,O_altitude,D_altitude,green_g,green_l
"MULTILINESTRING ((139.6390996 35.4461509,139.6391485 35.4461294,139.6400793 35.4456082,139.6401422 35.4455734))",1393,113,69,35.4461509,139.6390996,35.4455734,139.64014219999999,114.23700000000001,2.0,9.5,1,38.0,19.8,10.0,2.0,0,0,0,0,0,0.0,0.481012658,0.0018,0.0,1.1,0.9,0.0,0.0
"MULTILINESTRING ((139.6361269 35.4446182,139.6359771 35.4444558,139.6359325 35.444408))",1394,725,70,35.4446182,139.63612690000002,35.44440800000001,139.6359325,29.265,5.5,17.0,1,63.0,29.0,7.0,2.0,2,0,0,0,0,0.0,0.5862068970000001,-0.0205,0.0,1.4,2.0,0.0,0.0
"MULTILINESTRING ((139.636701 35.4438147,139.6365835 35.4438921,139.6365323 35.4439258,139.6363993 35.4440191,139.6361881 35.4441806,139.6360562 35.4442935,139.6359325 35.444408))",1395,138,70,35.443814700000004,139.636701,35.44440800000001,139.6359325,96.08200000000001,5.0,15.5,1,42.0,23.7,7.0,2.0,0,0,0,0,0,0.0,0.654929577,-0.0125,0.0,0.8,2.0,0.0,0.0
"MULTILINESTRING ((139.6352138 35.4450583,139.6352614 35.4450159,139.6355384 35.4447707,139.6358732 35.44447,139.6358944 35.4444509,139.6359325 35.444408))",1396,642,70,35.4450583,139.6352138,35.44440800000001,139.6359325,97.336,5.0,17.0,1,63.0,32.5,7.0,2.0,0,0,0,0,0,0.0,0.523076923,-0.0062,0.0,1.4,2.0,0.0,0.0
"MULTILINESTRING ((139.6365325 35.4450461,139.6366861 35.4452118,139.6367375 35.4452682))",1397,306,71,35.4450461,139.6365325,35.4452682,139.6367375,30.9,3.5,13.0,1,30.0,30.0,30.0,2.0,2,0,0,0,0,0.0,0.433333333,-0.0097,0.0,0.9,1.2,0.0,0.0
"MULTILINESTRING ((139.6367375 35.4452682,139.6359994 35.4456693,139.635873 35.4457381))",1398,645,71,35.4457381,139.635873,35.4452682,139.6367375,94.14399999999999,6.0,33.0,1,31.0,30.0,29.0,2.0,2,0,0,0,0,0.0,1.1,-0.0011,0.0,1.1,1.2,0.0,0.0
"MULTILINESTRING ((139.6375769 35.4448046,139.6367375 35.4452682))",1399,310,71,35.444804600000005,139.63757690000003,35.4452682,139.6367375,91.866,6.0,33.0,1,30.0,30.0,30.0,2.0,2,0,0,0,0,0.0,1.1,-0.0044,0.0,0.8,1.2,0.0,1.0
"MULTILINESTRING ((139.6367893 35.4453217,139.6367375 35.4452682))",1400,652,71,35.4453217,139.6367893,35.4452682,139.6367375,7.577000000000001,3.5,13.0,1,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0
"MULTILINESTRING ((139.6371917 35.4457669,139.6382104 35.4452017,139.6382499 35.4451782))",1401,109,72,35.4451782,139.6382499,35.4457669,139.6371917,116.08,3.5,12.0,1,31.0,25.0,5.0,2.0,0,0,0,0,0,0.0,0.48,-0.0043,0.0,0.9,1.4,0.0,0.0
"MULTILINESTRING ((139.6362462 35.4462925,139.6363543 35.4462304,139.6371917 35.4457669))",1402,108,72,35.4462925,139.6362462,35.4457669,139.6371917,103.691,3.5,12.0,1,31.0,25.0,10.0,2.0,0,0,0,0,0,0.0,0.48,-0.0039,0.0,1.0,1.4,0.0,0.0
